hi	مرحبًا
why didnt you call me earlier	لم لم تتّصل بي مسبّقا؟
why didnt you call me earlier	لم لم تتّصلوا بي مسبّقا؟
why didnt you call me earlier	لم لم تتّصلن بي مسبّقا؟
why do you want to leave today	لِمَ تريد المغادرة اليوم؟
why do you want to leave today	لم تريدين المغادرة اليوم؟
why dont we do that right now	لم لا نقوم بذلك للتّو؟
why is tom being so nice to us	لماذا يعاملنا توم بلطف بالغ؟
why were you late this morning	لماذا تأخرت هذا الصباح؟
why wont you be here tomorrow	لم لن تكون هنا غدا؟
will you be home for christmas	هل ستكون في البلاد وقت عيد الميلاد؟
will you take your hand off me	ألا تبعد يدك عني؟
would you please pay attention	هلّا أصغيتم رجاءً؟
yeast will make the dough rise	الخميرة ستجعل العجين ينتفخ
yes shell probably come home	نعم، على الأرجح أنها سوف تأتي إلى المنزل
you almost crashed into my car	أنتَ تقريباً تحطمت في سيارتي
you can always ask me for help	يمكنكَ دائماً أن تسألني للمساعدة
you can always ask me for help	يمكنكِ دائماً أن تسأليني عن المساعدة
you can drive a car cant you	تستطيع قيادة سيارة، صحيح؟
you can read anything you want	تستطيع قراءة اي شيء تريد
you can read between the lines	يمكنك قراءة ما بين السطور
you dont know the whole story	أنت لا تعلم بالقصة كاملة
you know the rest of the story	أنتَ تعرف بقية القصة
you must make up for lost time	يجب عليك أن تعوض عن الوقت الضائع
you should rest after exercise	عليك أن ترتاح بعد التمرين
you shouldnt have made me beg	لم يكن يجدر بك أن تجعلني أتوسل
youll forget about me someday	ستنسَني يوماً ما
youll forget about me someday	سوف تنساني يوما ما
youll need a temporary bridge	ستحتاج جسرًا مؤقتًا
youre digging your own graves	انت تحفر قبرك
your comments were appropriate	تعليقاتك كانت مناسبة
your glasses fell on the floor	وقعت نظارتك على الأرض
your necktie matches your suit	ربطة عنقك تليق ببزتك
your questions were too direct	كانت أسئلتك مباشرة جداً
your room is cleaner than mine	غرفتك انظف من غرفتي
a computer is a complex machine	الحاسوب آلة معقدة
a penny saved is a penny earned	خذ من غناك لفَقْرك
a refrigerator keeps meat fresh	تبقي الثلاجة اللحم طازجا
actions speak louder than words	الأفعال أبلغُ مِنَ الأقوالِ
actions speak louder than words	العبرةُ بالأعمالِ وليست بالأقوال
actions speak louder than words	الأفعال أبلغ من الأقوال
all tom really needed was a hug	كل ما كان يحتاجه توم حقاً هو عناق
all my friends can speak french	يستطيع كل أصدقائي التحدث بالفرنسية
are you saying that you give up	هل تقول بأنك استسلمت ؟
arent you forgetting one thing	ألم تنس شيئا؟
arent you forgetting something	ألم تنس شيئا؟
at last she solved the problem	و أخيراً حلّت المشكلة
beijing is the capital of china	بكين هي عاصمة الصين
call me as soon as you find tom	اتّصل بي حالما تجد توم
call me as soon as you find tom	اتّصلي بي حالما تجدين توم
can you recommend a good doctor	هلّا نصحتني بطبيب جيّد؟
did you see how he looked at me	هل لاحظت كيف كان ينظر إليّ؟
did you show it to your parents	أأريتها والديك؟
did you show it to your parents	هل أريتها والديك؟
didnt i ask you not to do that	ألم أطلب منك عدم فعل ذلك؟
do you believe there are ghosts	أتعتقد أن هناك أشباح؟
do you have any plans for today	هل عندك خطط لليوم؟
do you know anyone in australia	أتعرف أحدًا في أستراليا؟
do you think it was an accident	أتظنّها كانت حادثة؟
do you think its going to snow	أتظنها ستُثلج؟
do you want to go to the movies	هل تريد الذهاب إلى السينما؟
do you want to play golf or not	اتريد لعب الغولف أم لا؟
does this remind you of anybody	هل يذكّر هذا بشخص ما؟
dont accept the world as it is	لا تقبل بالعالم كما هو
dont forget to call me tonight	لا تنس أن تتّصل بي اللّيلة
dont forget to check the tires	لا تنس معاينة الدّواليب
dont pass judgment too quickly	لا تحكم بسرعة
dont talk in a loud voice here	لا تتكلم بصوت عالٍ هنا
dont worry ill stay with you	لا تقلق أنا سأبقى معك
dr smith has a lot of patients	لدى الطبيب سميث الكثير من المرضى
dr smith has a lot of patients	هناك الكثير من المرضى لدى الدكتور سميث
even children can understand it	حتى الأطفال يمكنهم فهم ذلك
every cloud has a silver lining	رب ضارّةٍ نافعة
everybody has their own opinion	كل شخص لديه آرائه الخاصّة
everybody was very well dressed	كان الجميع بملابس أنيقة
everything i did i did for tom	كلّ ما فعلتُ كان لِتوم
everything happens for a reason	كل ما يحصل، يحصل لسبب
everything happens for a reason	كل شيء يحدث لسبب ما
everythings better without you	كل شيء أفضل من دونك
friends should help one another	على الأصدقاء مساعدة بعضهم البعض
giant pandas live only in china	حيوانات الباندا الضخمة تعيش في الصين فقط
hamlet is a play by shakespeare	هاملت مسرحية لشكسبير
have any letters arrived for me	هل وصلتني أي رسائل؟
have you done all your homework	هل أنهيت كل واجباتك؟
have you done all your homework	هل أنجزت جميع فروضك؟
have you finished your homework	هل أنهيت واجباتك؟
have you read todays paper yet	هل قرأت جريدة اليوم بعد؟
he closely resembles his father	إنه يشبه أباه كثيراً
he failed due to lack of money	فشِل بسبب قلة المال
he forgot to turn off the light	نسي أن يطفئ النور
he has been waiting for an hour	انتظر لساعة
he has started to write a novel	لقد بدأ بكتابة رواية
he is getting better day by day	إنه يتحسّن يوماً بعد يوم
he is getting better day by day	إنه يتحسّن كل يوم
he likes to sing in the bathtub	يعجبه أن يغني في حوض الاستحمام
he placed the book on the shelf	وضع الكتاب على الرف
he remained single all his life	بقي عازباً طوال حياته
he told us an interesting story	حكى لنا قصة شيقة
he tried it over and over again	جرّبها مرة بعد أخرى
he tried to get rid of the ants	حاول أن يتخلص من النمل
he will never break his promise	هو سوف لن يخلف وعده أبدا
hey what are you talking about	عن ماذا تتحدث؟
his help is indispensable to us	لا غِنى لنا عن مساعدته
his mother was a school teacher	كانت أمها مدرّسة
his son became a famous pianist	أصبح ابنه عازف بيانو شهير
how could you not say something	كيف يمكن أن لا تقول شيئاً؟
how did tom know where mary was	كيف عَلِم توم مكان ماري؟
how do you know you can do that	كيف تعرف أنك تستطيع القيام بذلك؟
i asked him to send us the book	طلبت منه أن يبعث إلينا بالكتاب
i asked him to send us the book	طلبت منه أن يبعث الكتاب إلينا
i believe we spoke on the phone	أظن أننا تحادثنا عبر الهاتف
i believe what you said is true	أعتقد أن ما تقوله صحيح
i cant understand his feelings	لا يمكنني فهم مشاعره
i changed my address last month	غيرت عنواني الشهر الماضي
i did not understand him at all	لم أفهمه على الإطلاق
i didnt really mean to hit you	لم أقصد أن أضربك
i didnt study at all yesterday	لم أدرس على الإطلاق بالأمس
i dont even know anybody there	لا أعرف أي شخص هناك
i dont know how to drive a car	لا أعرف كيف أقود سيارة
i dont know if i have the time	لا أعلم إن كان لدي ما يكفي من الوقت
i dont know if i have the time	لا أعرف إذا كان لدي الوقت الكافي لذلك
i dont know if i have the time	أنا لا أعرف إذا كان لدي الوقت
i dont know if i still have it	لا أعرف إن كانت لا تزال معي
i dont know if i still have it	لا أعلم إذا ما كان لا يزال معي
i dont know what to do anymore	لا أعرف ماذا سأفعل بعد الآن
i dont know when hell be here	لا أعرف متى سيكون هنا
i dont like cream in my coffee	لا احب الكريم في قهوتي
i dont live that far from here	لا أسكن مكانا بعيدا ذاك البعد عن هنا
i dont own one of those things	أنا لا أمتلك شئ من تلك الأشياء
i dont really enjoy doing this	لا استمتع بفعل هذا
i dont speak french or english	انا لا اتحدث الانجليزيه او الفرنسيه
i dont want to go to the party	لا أريد الذهاب للحفله
i dont want to speak about her	لا أُريد أن أتحدث عنها
i got the punishment i deserved	تلقيت العقوبة التي أستحقها
i had my only son die of cancer	توفي ابني الوحيد بالسرطان
i have a week to do my homework	لدي أسبوع لأنهي واجبي
i have more experience than tom	لي خبرة أكثر من توم
i have some stuff to do at home	هناك أمور عليّ فعلها في المنزل
i hope tom isnt looking for us	آمل ألّا يكون توم في إثرنا
i hope that everyone will agree	اتمنى أن يوافق الجميع
i just wanted to check my email	أنا أردت فقط التحقق من بريدي الإلكتروني
i knew it couldnt be that easy	علمت بأن ذلك لن يكون سهلا بهذا القدر
i know what youre trying to do	أنا أعرف ما الذى تحاول فعله
i like him because he is honest	أحب فيه صدقه
i mightve left it on the table	لربما تركتها على الطاولة
i promise not to disappoint you	أعدك أنّني لن أخيّب آمالك
i promise that ill protect you	أعدك بأن أحميك
i really love the way you speak	أحب الطريقة التي تتكلم بها
i received her letter yesterday	استلمت رسالتها البارحة
i saw a bird flying over a tree	رأيتُ طائراً يُحلّقُ فوقَ شجرةٍ
i shouldve done this years ago	كان عليّ فعل هذا منذ زمن
i still wish that youd do that	ما زلت أتمنى أن تفعل ذلك
i suggest we go out for a drink	أقترح أن نخرج لتناول مشروب
i think thats whats happening	أظنّ أن هذا ما يحدث
i thought you needed some sleep	اعتقد انك بحاجة الى النوم قليلاً
i thought you said tom was dead	ظننتُكَ قلتَ أن توم كان ميتاً
i want to know why you did that	أودّ معرفة سبب فعلك لذلك
i want to marry a girl like her	أريد أن أتزوج فتاة مثلها
i want you to tell me the truth	أريدك أن تخبرني الحقيقة
i wanted to stay in bed all day	كنت أرغب في البقاء في السرير طوال اليوم
i was only there for three days	كنت هناك لثلاثة أيام فقط
i was reluctant to say anything	كنت متردد في قول أي شيء
i was thinking of getting a dog	كنت أفكر في الحصول على كلب
i was waiting for that question	كنت أنتظر هذا السؤال
i wasnt sure what was going on	لم أكن واثقا مما يجري
i wasnt trying to hurt anybody	لم أكن أحاول إيذاء أحد
i will stay here all this month	سأبقى هنا هذا الشهر كله
i will stay here all this month	سأظل هنا هذا الشهر بأكمله
i wish you had more time for me	أتمنى أن يكون لديك وقت أكثر لي
i wonder where i put my glasses	أتساءل أين وضعت نظاراتي
id like to know the reason why	أريد أن أعرف السّبب
id like to talk to the manager	أود التحدث مع المدير
ill get you something to drink	ساُحضِر لكَ شيئاُ لتشربهُ
ill give you anything but this	سأعطيك أي شيء إلا هذا
ill never forget this incident	لن أنس أبدا هذه الحادثة
ill never forget what happened	لن أنس أبدا ما حدث
ill never forget your kindness	لن أنس أبدا لطفك
ill only be staying a few days	سأبقى لعدة أيام فحسب
ill stay here until you return	سأبقىَ هنا إلى أن ترجع
im getting ready for the worst	أنا أستعد للأسوأ
im going to london this summer	سأذهب إلى لندن في الصيف
im likely to forget to do that	أرجّح أنّي سأنسى ذلك
im married and i have children	أنا متزوج و لديّ أطفال
im married and i have children	أنا متزوّجة و لديّ أطفال
im not sure if this is correct	أنا لست متأكداً إن كان هذا صحيحاً
im not used to working outside	أنا لست معتادة على العمل في الخارج
im not used to working outside	أنا لست معتاد على العمل في الخارج
im reading that book right now	أنا أقرأُ ذلِكَ الكِتابَ الآن
im taking a couple of days off	سآخذ إذنا ليومين
im tired its been a long day	أنا متعب لقد كان يوماً طويلاً
im tired its been a long day	أنا متعبة لقد كان يوماً طويلاً
im very grateful for your help	أنا ممتن للغاية لمساعدتك
ive finished reading that book	أنهيت قراءة ذلك الكتاب
ive worked here for many years	لقد عملت هنا لسنوات عديدة
if you get sleepy just tell me	إذا شعرت بالنعسان، فقط أخبرني
is english harder than japanese	هل اللغة الإنجليزية أصعب من اليابانية؟
is somebody teaching you french	هل يوجد شخص ما يعلمكَ الفرنسية؟
is this place far from the bank	هل ذاك المكان بعيد عن المصرف؟
is three hundred dollars enough	هل ثلاثمائة دولار كافي؟
is three hundred dollars enough	هل ثلاثمئة دولاد تكفي؟
it is getting colder day by day	يصبح الجو أبرد يوماً بعد يوم
it is getting warmer day by day	يصبح الجو أدفأ يوماً بعد يوم
it was hard to keep up with tom	كان من الصعب اللحاق بتوم
it was not one battle but many	لم تكن معركةً واحدةً، بل أكثر
it was only a kiss on the cheek	كانت مجرد قبلة على الخد
itll be faster to go by subway	سيكون اسرع اذا ذهبنا بالمترو
its a matter of life and death	إنها مسالة حياة أو موت
its more complicated than that	الأمر أكثر تعقيدا
its raining cats and dogs here	إنها تُمطِرُ بغزارةٍ هُنا
japan is not as large as canada	ليست اليابان بحجم كندا
last summer i traveled to italy	سافرت إلى إيطاليا الصيف الفائت
let me take your blood pressure	اسمح لي أن أقيس ضغط دمك
lets be honest with each other	دعونا نكون صادقين معَ بعض
lets go see if tom can help us	دعنا نذهب لنرى إذا كان توم يستطيع أن يساعدنا
lets go see if tom can help us	هيا بنا نذهب لنرى إذا كان توم يستطيع أن يساعدنا
lets go see if tom can help us	دعينا نذهب لنرى إن كان توم يستطيع أن يساعدنا
lots of famous people come here	الكثير من المشاهير يأتون إلى هنا
magnesium is a chemical element	المغنيزيوم عنصر كيميائي
mathematics is difficult for me	الرياضيات مادة صعبة بالنسبة لي
may i ask a couple of questions	هل يمكنني أن أطرح بعض الأسئلة؟
may i ask a couple of questions	هل لي ببعض الأسئلة؟
may i come and see you tomorrow	هل لي أن آتي و أقابلك غداً؟
may i see your drivers license	هلا أريتني رخصتك؟
may i share this table with you	أتسمح لي أن أشاركك الجلوس على الطاولة؟
maybe tom has something to hide	ربما توم لديهُ شيئاً لإخفائه
maybe he will be a good teacher	لربما أصبح معلماً ماهراً
maybe someday youll understand	ربما ستفهم يومًا ما
maybe youd better come with us	ربما من الأفضل أن تأتي معنا
meat is very expensive nowadays	اللحم غال جدا في أيامنا هذه
my aunt brought me some flowers	جلبت لي عمتي بعض الأزهار
my aunt is older than my mother	عمتي أكبر من أمي
my boss is twice as old as i am	رئيسي في العمل يكبرني عمراً بمرتين
my children really like animals	أولادي يحبون الحيوانات كثيراً
my dog follows me wherever i go	يتبعني كلبي حيثما ذهبت
my dream is to become a teacher	حلمي أن أصبح معلّماً
my father has never been abroad	لم يسبق لأبي أن سافر إلى الخارج
my father has never been abroad	لم يسافر أبي إلى الخارج من قبل
my father has never been abroad	لم يجرب أبي السفر إلى الخارج قط
my father is very angry with me	إن أبي غاضب مني جداً
my father likes pizza very much	يحب أبي البيتزا كثيراً
my father sometimes goes abroad	يسافر أبي إلى الخارج أحياناً
my friends invited me to dinner	قام أصدقائي بدعوتي إلى العشاء
my friends invited me to dinner	دعاني أصحابي على العشاء
my grandfather was born in	وُلد جدي عام عشرين ميلادية
my grandfather was born in	ولد جدي عام ألف و تسعمئة و عشرين للميلاد
my grandfather was born in	ولد جدي عام ١٩٢٠م
my grandmother lives by herself	تعيش جدتي وحدها
my hobby is collecting old toys	هوايتي جمع اللعب القديمة
my hobby is making model planes	هوايتي هي صنع مجسمات للطائرات
my house is close to a bus stop	يقع بيتي بالقرب من نقطة انتظار الحافلة
my life has changed quite a lot	تغيّرت حياتي بشكل هام
my mother bought me a new dress	اشترت لي أمي فستاناً جديداً
my mother died when i was a kid	ماتت أمي عندما كنت صغيراً
my mother hates writing letters	تكره أمي كتابة الرسائل
my mother is not always at home	أمي ليست موجودة في المنزل طيلة الوقت
my mother is reading a magazine	أمي تقرأ مجلة
my office is on the fifth floor	مكتبي في الطابق الخامس
my sister is a very good typist	أُختي طابِعة جيدة جداً
my son is a rebellious teenager	ابني مراهق متمرد
my son is going to be a teacher	سيصبح ابني معلماً
no one i know likes tom anymore	لا أحد أعرفهُ يحب توم بعد الآن
no one cares about that anymore	لا أحد يهتم حيال ذلك بعد الآن
no one lets me have fun anymore	لا أحد يدعني أحصل على المتعة بعد الآن
no one survived the plane crash	لم ينجُ أحد من تحطم الطائرة
none of my friends drink coffee	لا يشرب أي من أصدقائي القهوة
none of my friends drink coffee	كل أصحابي لا يشربون القهوة
not all muslims observe ramadan	لا يلتزم جميع المسلمين بشرائع رمضان
now ill take your temperature	سأقيس حرارتك الآن
oh my god i cant believe this	يا إلهي، أنا لا أصدق هذا
only a few people understood me	فهمني القليل
only a few people understood me	كل من فهمني هم حفنة من الناس
only adults may watch that film	هذا الفيلم للكبار فقط
only adults may watch that film	الكبار فقط بإمكانهم مشاهدة ذاك الفلم
ottawa is the capital of canada	أتوا هي عاصمة كندا
our dog was run over by a truck	دهست شاحنة كلبنا
please answer all the questions	من فضلك أجب على كل الأسئلة
please come as soon as possible	من فضلك تعال بأسرع ما يمكن
please correct my pronunciation	صحح نطقي من فضلك
please dont follow this advice	لا تعمل بهذه النصيحة رجاءً
please fill out this form first	رجاءً، املأ هذا النموذج أولًا
please give me a glass of water	أعطني كأساً من الماء من فضلك
please give me a piece of bread	أعطني كسرة خبز من فضلك
please help me with my homework	من فضلك ساعدني في حل واجبي
please knock before you come in	من فضلك انقر على الباب قبل أن تدخل
please let me take your picture	دعني آخذ صورة لك إذا سمحت
please phone me before you come	من فضلك اتصل بي قبل أن تأتي
please send us more information	أرسل إلينا المزيد من المعلومات إذا تكرمت
please show me your injured arm	أرني ذراعك المجروح من فضلك
please shut the door behind you	من فضلك أغلق الباب خلفك
please tell her to call me back	بلغها أن تعاود الإتصال بي من فضلك
please tell her to call me back	من فضلك أبلغها أن تتصل بي
please tell me where to go next	أخبرني من فضلك إلى أي مكان أذهب بعد ذلك
pollution is damaging our earth	التلوث يضر كوكبنا
put the book where you found it	أعد الكتاب حيث وجدته
put the book where you found it	أعد الكتاب إلى مكانه الذي وجدته فيه
see you tomorrow at the library	أراك غداً في المكتبة
see you tomorrow at the library	أراك غداً عند المكتبة
she accused me of telling a lie	اتهمتني بأني كذبت
she always keeps her room clean	دائماً ما تبقي غرفتها نظيفة
she always keeps her room clean	تحافظ على غرفتها مرتبة دوماً
she asked him why he was crying	سَأَلَتهُ لماذا كان يبكي
she asked him why he was crying	سَأَلَتهُ لما كان يبكي
she asked me if i was all right	سألتني إذا كنت على ما يرام
she asked me if i was all right	سألتني إن كنت بخير
she asked me to open the window	طلبت مني أن أفتح النافذة
she asked me to wake her at six	طلبت مني أن أوقظها عند السادسة
she asked us to leave her alone	طلبت منا أن نتركها وحدها
she asked us to leave her alone	طلبت منا أن نتركها و شأنها
she bought two pounds of butter	اشترت رطلين من الزبدة
she bought two pounds of butter	اشترت رطليْ زبدة
she cleaned her room in a hurry	نظفت غرفتها في عجلة
she cleaned her room in a hurry	رتبت غرفتها بسرعة
she didnt want to get involved	لم ترد أن تتدخل
she doesnt live there any more	لم تعد تسكن هناك
she eats nothing but vegetables	إنها لا تأكل إلا الخضار
she finished reading the letter	انتهت من قراءة الرسالة
she finished reading the letter	لقد أنهت قراءة الرسالة
she gave him a slap in the face	لقد صفعته في الوجه
she got to the station at seven	وصلت إلى المحطة الساعة السابعة
she had nothing to do yesterday	لم يكن لديها ما تفعله بالأمس
she had suffered a heart attack	هي تعرضت إلي نوبة قلبية
she has a son and two daughters	لديها ولد و ابنتين
she has already left the office	غادرت المكتب منذ فترة
she has been dead for ten years	مر على موتها عشر سنين
she has been dead for ten years	إنها ميتة منذ عشر سنوات
she is good at speaking english	إنها ماهرة في تحدث الإنجليزية
she is looking for her car keys	إنها تبحث عن مفاتيح سيارتها
she is two years older than you	إنها أكبر مني بسنتين
she pretended that she was sick	تظاهرت بأنها مريضة
she refused to accept the money	رفضت المال
she showed me around the campus	أعطتني جولة في الحرم الجامعي
she stayed in the house all day	بقيت في المنزل طوال اليوم
she teaches reading and writing	إنها تدرّس القراءة و الكتابة
she thought that i was a doctor	ظنت أني طبيب
she thought that i was a doctor	اعتقدت أنني طبيب
she told me she knew my brother	أخبرتني بأنها تعرف أخي
she told us not to make a noise	طلبت منا ألا نصدر صوتاً
she told us the road was closed	أخبرتنا بأن الطريق مغلق
she took a taxi to the hospital	ركبت سيارة أجرة متجهة إلى المستشفى
she took off the lid of the box	أزاحت غطاء الصندوق
she tore the letter into pieces	مزقت الرسالة تمزيقاً
she translated it word for word	ترجمت النص حرفياً
she traveled all over the world	سافرت حول العالم
she usually goes to bed at nine	عادة ما تخلد إلى السرير الساعة التاسعة
she was busy doing her homework	كانت مشغولة بإنهاء واجباتها
she was busy with the housework	كانت مشغولة بأعمال المنزل
she was busy with the housework	كانت مشغولة بأعمال منزلية
she was nearly hit by a bicycle	كادت أن تصدمها دراجة
she will be seventeen next year	سيصبح عمرها سبعة عشر عاماً السنة المقبلة
shes been working all day long	كانت تعمل طوال اليوم
somebody has stolen my suitcase	أحدهم سرق حقيبتي
thanks a lot i appreciate that	شكراً جزيلاً  أنا أقدر هذا
that isnt something you forget	هذا ليس شيئا ينساه المرأ
that old woman lives by herself	تلك المرأة العجوز تعيش لوحدها
that old woman lives by herself	تلك المرأة العجوز تسكن بمفردها
that old woman lives by herself	تلك المرأة العجوز تعيش بمفردها
that old woman lives by herself	تلك المرأة العجوز تسكن لوحدها
thats just my personal opinion	هذا فقط رائيي الشخصي
thats not something you forget	هذا ليس شيئا ينساه المرأ
the area around here was bombed	لقد تم قصف المنطقة المحيطة هنا
the bank is closed on saturdays	البنك يكون مغلقاً أيام السبت
the bicycle by the door is mine	الدراجة التي بجانب الباب هي دراجتي
the bottle is filled with water	الزجاجة ملئى بالماء
the bridge is about to collapse	يوشك الجسر على الانهيار
the bus should be arriving soon	سوف يأتي الباس عن قريب
the car is not illegally parked	هذه السّيّارة ليست مركونة بشكل غير قانوني
the cat is sleeping on the sofa	القطة نائمة على الأريكة
the cat which you found is mine	القطة التي عثرت عليها تكون لي
the dispute was finally settled	في النهاية حل الخلاف
the dog attacked the little boy	هاجم الكلب الولد الصغير
the dog attacked the little boy	تهجم الكلب على الصغير
the early bird catches the worm	العصفور المبكر يلتقط الدودة
the fire started in the kitchen	بدأت النار فى المطبخ
the gang was planning a robbery	خططت العصابة لسرقة
the guard was on duty all night	كان الحارس على رأس مهمته طوال الليل
the guard was on duty all night	حرس الحارس الليل بطوله
the house is said to be haunted	يُقال أن ذاك المنزل مسكون
the house is said to be haunted	قيل أن هذا المنزل مسكون بالأشباح
the library is on the floor	المكتبة في الطابق الرابع
the movie starts at ten oclock	يبدأ عرض الفلم الساعة العاشرة
the police arrested the suspect	اعتقلت الشرطة المشتبه به
the police shot toms tires out	أطلقت الشرطة النار على إطارات مركبة توم
the stock market is very active	سوق الأسهم يشهد نشاطاً زائداً
the sun gives us light and heat	تعطينا الشمسُ الضوءَ والحرارةَ
the train leaves in ten minutes	سينطلق القطار خلال عشر دقائق
the train leaves in ten minutes	القطار سينطلق في غضون عشر دقائق
there are many books in my room	هناك الكثير من الكتب في غرفتي
there are many tourists in town	هنالك العديد من السياح في البلدة 
there are some boys in the park	هناك بعض الأولاد في المنتزه
there is a church near my house	هناك كنيسة بالقرب من منزلي
there is an orange on the table	هناك برتقالة على الطاولة
theres nothing to be scared of	لا يوجد أي شيء مدعاة للخوف
theres only a little milk left	لم يبقَ إلا القليل من الحليب
theres only a little milk left	لم يعد هناك إلا القليل من الحليب
these fireworks are spectacular	هذه الألعاب النارية رائعة
they accused me of being a liar	هم اتهموني بالكذب
they are struggling for freedom	إنهم يكافحون من أجل الحرية
they grow oranges in california	يزرع البرتقال في كاليفورنيا
they havent come back home yet	لم يعودوا إلى المنزل بعد
they sat in the shade of a tree	جلسوا تحت ظل شجرة
they started working right away	بدأوا العمل على الفور
this letter is addressed to you	هذا الخطاب موجه لك
this letter is addressed to you	هذه الرسالة موجهة إليك
this matter does not concern me	هذا الأمر لا يعنيني
this problem is really annoying	هذه المشكلة مزعجة حقًّا
this word is derived from latin	هذه الكلمة مشتقة من اللاتينية
today i have a lot of homework	لدي الكثير من الواجبات هذا اليوم
tom and mary are playing tennis	يلعب توم وماري كرة المضرب
tom and mary were close friends	توم وميري كانا صديقان مقربان
tom did the same thing mary did	قام توم بنفس الشيء الذي قامت به ماريا
tom died in of lung cancer	مات توم في 2013 بسرطان الرئة
tom has a good head for numbers	لدى توم درجات جيدة
tom has always had that problem	لطالما عانى توم من تلك المشكلة
tom has the same birthday as me	لدى سامر نفس يوم ميلادي
tom hid himself under the table	اختبأ توم تحت الطاولة
tom is just thinking of himself	توم يفكر في نفسه فقط
tom is trying to break the lock	يحاول توم كسر القفل
tom just doesnt seem to get it	توم يبدوا غير قادر على فهمها
tom listened to classical music	توم استمع إلى الموسيقى الكلاسيكية
tom met mary in the hotel lobby	التقى توم بماري في ردهة الفندق
tom once worked as a tour guide	عمل توم ذات مرة كمرشد سياحي 
tom promised to be here at	وعدني توم بأنّه سيكون هنا عند 230
tom pushed mary down the stairs	دفع توم ماري من على الدرج
tom said his life was in danger	قال توم إن حياته كانت في خطر
tom said that mary wasnt tired	قال توم بأن ماري لم تكن متعبة
tom said thats not what he did	توم قَالَ أنَّهُ لَمْ يَفعَل ذلِك
tom speaks french like a native	يتحدث توم الفرنسية كأهلها
tom told me not to talk to mary	أخبرني توم بألا أتكلم مع ماري
tom was the last kid to go home	كان توم آخر طفل يذهب إلى منزله
tom wasnt aware of the problem	لم يكن توم يعي المشكلة
we didnt need to come so early	لا نريد الذهاب مبكرا جدا
we encourage your participation	إننا نشجع مساهمتكم
we have eaten there three times	لقد أكلنا هناك ثلاث مرات
we have to do this by ourselves	علينا عمل هذا بأنفسنا
we have to do this by ourselves	علينا ان نفعل هذا بأنفسنا
we hurried to the train station	أسرعنا إلى محطة القطار
we just dont feel like dancing	نحن فقط لا نشعر بالرغبة في الرقص
we may not be able to afford it	قد لا نتحمل سعره
we must prevent war at any cost	علينا أن نتجنب الحرب بأي ثمن
we talked about a lot of things	تحدثنة عن بعض الاشياء
we use a lot of water every day	إننا نستهلك الكثير من الماء يومياً
we went to the museum last week	ذهبنا إلى المتحف الأسبوع الماضي
well find a solution im sure	متأكّد من أننا سنجد حلّا
weve made arrangements for you	عملنا بعض التحضيرات لأجلك
were you at school at that time	أكنت في المدرسة في ذلك الوقت؟
were you at school at that time	هل كنت في المدرسة حينها؟
what are you punishing them for	ما الذي تعاقبهم عليه؟
what are you thinking about now	فيمَ تفكّر الآن؟
what did you put into the boxes	ماذا وضعت داخل الصناديق؟
what did you put into the boxes	ماذا وضعت في الصناديق؟
what do you do in the afternoon	ماذا تفعل ظهرا؟
what do you expect to find here	ماذا تتوقع أن تجد هنا؟
what time does your plane leave	متى ستغادر طائرتك؟
what time does your plane leave	في أي وقت ستقلع طائرتك؟
what time does your plane leave	ما ميعاد إقلاع طائرتك؟
what you said needed to be said	الذي قلته كان يجب أن يقال
whats the meaning of this word	ما معنى هذه الكلمة؟
whats the next step to be done	ما هي الخطوة التالية ليصبح جاهز؟
whats the purpose of your trip	ما الغرض من رحلتك؟
when did you begin playing golf	متى بدأت لعب الجولف؟
when did you find out the truth	متى عرفت الحقيقة؟
wheres the nearest art gallery	أين أقرب معرض فني؟
who do you think she lives with	مع من تظن أنها تسكن؟
who else can answer my question	هل هناك شخص آخر بإمكانه الإجابة على سؤالي؟
whos the man playing the piano	من يعزف على البيانو؟
whos the man playing the piano	من ذلك الرجل الذي يعزف على البيانو؟
why couldnt you come yesterday	لماذا لم تستطع القدوم بالأمس؟
why couldnt you come yesterday	لماذا لم تسطيع أن تأتي بالأمس؟
why did you go there without me	لم ذهبت إلى هناك بدوني؟
why do you want to come with me	لم تريد مجيء معي؟
why do you want to study abroad	لماذا تريد الدراسة في الخارج؟
why wont tom just listen to me	لِمَ لا يَستَمِعُ لي توم
will you sell your house to him	هل ستبيع منزلك له؟
will you sell your house to him	هل ستبيعه بيتك؟
without air nothing could live	من دون الهواء ، لن يبقى شيء على قيد الحياة
wont you join our conversation	هلّا شاركتنا الحديث؟
would you like to dance with me	هل ترغب في الرقص معي؟
would you like to dance with me	هل ترغبين في الرقص معي؟
would you like to sell your car	هل تريدُ أن تبيعَ سيّارتك؟
yesterday my uncle bought a dog	اشترى عمي البارحة كلباً
you cant do two things at once	لا يمكنك أن تفعل شيئين في وقت واحد
you cant do two things at once	لا يمكنك أن تفعل شيئين في الوقت ذاته
you cant do two things at once	لا يمكنك أن تفعل شيئين في الوقت نفسه
you could come and live with me	يمكنك المجيء والعيش معي
you dont have to come tomorrow	ليس عليك أن تأتي غدًا
you must return the book to him	يجب عليك أن تعيد الكتاب إليه
you should keep your desk clean	يجب ان تحافظ علي مكتبك نظيف
you should keep your desk clean	ينبغي عليك ان تُبقي مكتبك نظيف
